,class,tweet,label
20799,1,Shut up bitch i wasn't gonna roast.,offensive_language
17233,2,RT @SexyKarenFisher: Oh it's Saturday funny time! You better redneck necognize! http://t.co/qc4mgs3ejp,neither
2674,1,@BrendaGisselCA then what the hell are the perks of being your hoe? This is some bullshit,offensive_language
22360,1,Ungrateful bitches never happy how u not happy? What u mean u ain't happy? #youngjefe!,offensive_language
22554,1,What I hate about edm festivals is the people who bitch about the line up. #STFU,offensive_language
10061,1,I beg to differ on that lip bittin shit. Dis bitch bit my lip nd tried to suck my blood. Aint shit sexy about that,offensive_language
6124,2,@iStandy is he chunky?,neither
16038,1,"RT @KissMySmilee: lmfaooo, like is this bitch alanah serious ?",offensive_language
18408,1,RT @_brooklynnmsb: It ain't nothing to cut that bitch off. &#128076;&#128129;,offensive_language
6693,1,@mkkberger juss the way she stands screams bitch! Lmao @mlwberger @bigbergerc,offensive_language
7148,1,@thereal_2raw He actually good lol don't hoe him. But I mean that's some road to glory shit &gt;Go to Northern Illinois* *Undefeated &amp; Heisman*,offensive_language
22244,1,Trust none bitch I don't wife a bitch? Bitch I won't,offensive_language
5485,1,@alexrice_ wow your like 3 years late bitch,offensive_language
4477,1,@Ranae_26 i can't why you up hoe &#9825;&#9825;,offensive_language
14953,0,RT @DefendWallSt: Tell me how you really feel. RT @1SleepingGiant: those little #ISIS faggots usually have bags over their heads anyway.,hate_speech
20525,1,"Rows for the hoes

Curls for the girls

Planks for the skanks 

Deep cuts for the sluts

Quads for the broads

No pecs No sex",offensive_language
13347,1,Night niggers,offensive_language
6089,0,@holyh00ker he looks like a pretty dyke&#128129;&#10024;,hate_speech
3958,1,@LowworldsFinest @1stblock_thomas man y'all niggas chill man I'm High af tho . Y'all niggas ain't even tell me who the hoe is &#128564;&#9995;,offensive_language
3515,1,@Issa_GOLD u think that dream has anything to do with those two dumb bitches in San Diego lol,offensive_language
8616,1,Damn rednecks outside shooting guns keep waking my kids up. No sleep for us tonight. Thanks #2A! Work at 8am is going to be so great...,offensive_language
12714,1,Man heartburn is a bitch,offensive_language
20647,1,"Seen it all before , bitch got a man but she scheming on the Low &#128564;",offensive_language
9817,1,Hit a bitch with a car bomb.,offensive_language
21507,1,The bitches are back http://t.co/3fpjQJvjUh,offensive_language
5083,2,@VictorB123 @KHShan yea.. you don't live down here I guess. We still got roofs that aren't fixed from Charlie and Jeanne.,neither
19329,1,RT @jessielee1028: @Hawkdaddy300 @GavinMHawks21 @Ur_Boy_George yeah I don't think that's okay...Fuckin drop it. You shouldn't even joke abo&#8230;,offensive_language
12702,1,Man I just watched that 50 shades of gay trailer and that shit looked like the wackest movie of all time. Y'all be hyping up trash on here,offensive_language
4146,1,@Molly_m5462 better bitch!:),offensive_language
14920,2,RT @DarthVenn: So this is the woman who was a bird then turned into a woman from the sky in Nigeria. http://t.co/34DcwJkVeF,neither
23159,1,Yo bitch wanna fuck the squad!!&#128526;,offensive_language
19113,1,RT @iCuffHoodrats: My next bitch gotta take me out just because....,offensive_language
18030,1,"RT @WhenRapperSaid: When Tupac said ""I ain't a killer but don't push me, revenge is the sweetest joy next to getting pussy"" http://t.co/pto&#8230;",offensive_language
13452,1,"Now I could say my name butttttt, ya bitch already knows it &#127926;",offensive_language
9814,1,His bitch wan fuck me cuz he sneak dissin me &#128520;,offensive_language
7188,1,@triple6em96 @Hunglikerobby_ @bbluedreamm I don't look like white trash. I'm not pregnant and 17 gtfo. I have hella gas so say something.,offensive_language
9269,1,Fuck the rockets and everything they get with d Howard bitch ass. Signed bitter laker fan. Lol,offensive_language
17880,1,RT @TylerReactions: When someone retweets a bitch I hate onto my timeline http://t.co/P0lZnmJKLp,offensive_language
9334,1,Funnie watching my nig interview on ESPN,offensive_language
9553,1,Gov. Rick Scott Kicks Charlie Crist&#8217;s Ass http://t.co/x6kOQsVCUa,offensive_language
24304,0,only lesbians get their nips pierced ew,hate_speech
13848,1,Plot twist I fucked your bitch,offensive_language
24485,1,the fact that Soulja Boy on 2 dif reality shows wit 2 dif bitches..,offensive_language
6818,1,@pharary04 you don't know me but I got a whole video of you sucking the life out of my pussy &#128527;&#128564;bye stranger &#128536;,offensive_language
10273,1,I feel like its gon be a homo revalution round dis bitch deez niggas expandin,offensive_language
16832,1,RT @PSQ_LOADUPP: I never met a faithfull bitch,offensive_language
21033,1,"Somebody tell these nigggas I'ma keep fuckin they hoes, I'ma keep rockin these shows",offensive_language
14384,1,RT @BittyTang: &#8220;@Weed_Cloudz: Us calling females hoes for dressing as bunnies and cats for Halloween didn't discourage them one bit...lol&#8221;G&#8230;,offensive_language
8901,2,Early bird gets the worm right? Hopefully I get a job soon after today! http://t.co/lvgfVBqkdz,neither
16044,1,RT @Knae__: .I'm a &#128170; lil bitch,offensive_language
13928,1,Put a b&#299;tch pussy on first 48,offensive_language
11476,1,If I don't unwrap a big booty hoe today i'm going rio be outraged.,offensive_language
16113,2,RT @LakersTV: VIDEO: @kobebryant on talking trash while facing @NickSwagyPYoung during today&#8217;s scrimmage &#8211; http://t.co/3njZFytc1R http://t.&#8230;,neither
20051,1,"RT @suckdisdpiece69: I'm gonna rock out with my cock out, and you're gonna jam out with your clam out",offensive_language
17938,2,RT @VUULibrary: It is Shakespeare's birthday. Take a look at some Shakespearean trash talk. http://t.co/JSy3UFfaIb,neither
